TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
2.440000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.460000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.480000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.500000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.520000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.540000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.560000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.580000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.600000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.620000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.640000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.660000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.680000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.700000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.720000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.740000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.760000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.780000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.800000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.820000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.840000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.860000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.880000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.900000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.920000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.940000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
