TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
4.920000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.940000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.960000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.980000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.000000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.020000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.040000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.060000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.080000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.100000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.120000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.140000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.160000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.180000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.200000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.220000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.240000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.260000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.280000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.300000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.320000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.340000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.360000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.380000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.400000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.420000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.440000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.460000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.480000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.500000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.520000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
5.540000000000000e-01 2.246897563877209e-02 9.723768871010008e-03 1.969139908264072e-03
5.560000000000000e-01 2.319081500064737e-02 2.083487998212115e-02 2.058270299648076e-03
5.580000000000001e-01 2.393108817554129e-02 3.194599109323228e-02 2.150836594903695e-03
5.600000000000001e-01 2.469014599281787e-02 4.305710220434338e-02 2.246948468462125e-03
5.620000000000001e-01 2.546834370515363e-02 5.416821331545451e-02 2.346718377719153e-03
5.640000000000001e-01 2.626604101624847e-02 6.527932442656564e-02 2.450261615665523e-03
5.660000000000001e-01 2.708360210853625e-02 7.639043553767674e-02 2.557696364176715e-03
5.680000000000001e-01 2.792139567089585e-02 8.750154664878787e-02 2.669143747966254e-03
5.700000000000001e-01 2.877979492636159e-02 9.861265775989901e-02 2.784727889206603e-03
5.720000000000001e-01 2.965917765983432e-02 1.097237688710101e-01 2.904575962821829e-03
5.740000000000001e-01 3.055992624579197e-02 1.208348799821212e-01 3.028818252456061e-03
5.760000000000001e-01 3.148242767600046e-02 1.319459910932324e-01 3.157588207121918e-03
5.780000000000000e-01 3.242707358722428e-02 1.430571022043429e-01 3.291022498532941e-03
5.800000000000000e-01 3.339426028893771e-02 1.541682133154540e-01 3.429261079124253e-03
5.820000000000000e-01 3.438438879103488e-02 1.652793244265651e-01 3.572447240765322e-03
5.840000000000000e-01 3.539786483154125e-02 1.763904355376763e-01 3.720727674169273e-03
5.860000000000000e-01 3.643509890432399e-02 1.875015466487874e-01 3.874252529002509e-03
5.880000000000000e-01 3.749650628680265e-02 1.986126577598984e-01 4.033175474698962e-03
5.900000000000000e-01 3.858250706766032e-02 2.097237688710096e-01 4.197653761983044e-03
5.920000000000000e-01 3.969352617455420e-02 2.208348799821207e-01 4.367848285105339e-03
5.940000000000000e-01 4.082999340182611e-02 2.319459910932318e-01 4.543923644795156e-03
5.960000000000000e-01 4.199234343821391e-02 2.430571022043430e-01 4.726048211934182e-03
5.980000000000000e-01 4.318101589456148e-02 2.541682133154541e-01 4.914394191955065e-03
6.000000000000000e-01 4.439645533153017e-02 2.652793244265652e-01 5.109137689969363e-03
6.020000000000000e-01 4.563911128730914e-02 2.763904355376764e-01 5.310458776628685e-03
6.040000000000000e-01 4.690943830532632e-02 2.875015466487875e-01 5.518541554723293e-03
6.060000000000000e-01 4.820789596195918e-02 2.986126577598985e-01 5.733574226522217e-03
