TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
1.900000000000000e-01 4.431994945000000e-01 -1.438386684000000e+00 1.281381565000000e-01
1.920000000000000e-01 4.353641318000000e-01 -1.427070492300000e+00 1.249814422000000e-01
1.940000000000000e-01 4.276328269000000e-01 -1.415744090100000e+00 1.218889232000000e-01
1.960000000000000e-01 4.200049239000000e-01 -1.404407849300000e+00 1.188596884000000e-01
1.980000000000000e-01 4.124797445000000e-01 -1.393062126900000e+00 1.158928252000000e-01
2.000000000000000e-01 4.050565890000000e-01 -1.381707266400000e+00 1.129874207000000e-01
2.020000000000000e-01 3.977347386000000e-01 -1.370343599000000e+00 1.101425626000000e-01
2.040000000000000e-01 3.905134566000000e-01 -1.358971444600000e+00 1.073573401000000e-01
2.060000000000000e-01 3.833919897000000e-01 -1.347591112700000e+00 1.046308447000000e-01
2.080000000000000e-01 3.763695696000000e-01 -1.336202903400000e+00 1.019621706000000e-01
2.100000000000000e-01 3.694454141000000e-01 -1.324807108300000e+00 9.935041590000000e-02
2.120000000000000e-01 3.626187279000000e-01 -1.313404010900000e+00 9.679468300000001e-02
2.140000000000000e-01 3.558887040000000e-01 -1.301993888000000e+00 9.429407880000000e-02
2.160000000000000e-01 3.492545248000000e-01 -1.290577009800000e+00 9.184771570000000e-02
2.180000000000000e-01 3.427153624000000e-01 -1.279153640900000e+00 8.945471169999999e-02
2.200000000000000e-01 3.362703806000000e-01 -1.267724041400000e+00 8.711419110000000e-02
2.220000000000000e-01 3.299187348000000e-01 -1.256288466900000e+00 8.482528490000001e-02
2.240000000000000e-01 3.236595736000000e-01 -1.244847170000000e+00 8.258713090000000e-02
2.260000000000000e-01 3.174920397000000e-01 -1.233400401300000e+00 8.039887440000000e-02
2.280000000000000e-01 3.114152707000000e-01 -1.221948409800000e+00 7.825966850000000e-02
2.300000000000000e-01 3.054284003000000e-01 -1.210491444800000e+00 7.616867419999999e-02
2.320000000000000e-01 2.995305595000000e-01 -1.199029757300000e+00 7.412506110000000e-02
2.340000000000000e-01 2.937208777000000e-01 -1.187563601200000e+00 7.212800760000000e-02
2.360000000000000e-01 2.879984842000000e-01 -1.176093236100000e+00 7.017670120000000e-02
2.380000000000000e-01 2.823625097000000e-01 -1.164618929300000e+00 6.827033909999999e-02
2.400000000000000e-01 2.768120877000000e-01 -1.153140959400000e+00 6.640812840000000e-02
2.420000000000000e-01 2.713463570000000e-01 -1.141659619700000e+00 6.458928680000001e-02
2.440000000000000e-01 2.659644634000000e-01 -1.130175223100000e+00 6.281304290000000e-02
2.460000000000000e-01 2.606655625000000e-01 -1.118688108100000e+00 6.107863700000000e-02
