TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
2.840000000000000e-01 3.962393017000000e-01 -2.002691000000000e-04 1.094512764400000e+00
2.860000000000000e-01 3.962368097000000e-01 -1.889765000000000e-04 1.094504040900000e+00
2.880000000000000e-01 3.962346708000000e-01 -1.794627000000000e-04 1.094496704400000e+00
2.900000000000000e-01 3.962329327000000e-01 -1.719665000000000e-04 1.094490940900000e+00
2.920000000000000e-01 3.962314938000000e-01 -1.659845000000000e-04 1.094486358100000e+00
2.940000000000000e-01 3.962301893000000e-01 -1.607006000000000e-04 1.094482320200000e+00
2.960000000000000e-01 3.962288684000000e-01 -1.553688000000000e-04 1.094478245900000e+00
2.980000000000000e-01 3.962274508000000e-01 -1.495919000000000e-04 1.094473825800000e+00
3.000000000000000e-01 3.962259497000000e-01 -1.434378000000000e-04 1.094469112700000e+00
3.020000000000000e-01 3.962244396000000e-01 -1.372774000000000e-04 1.094464395700000e+00
3.040000000000000e-01 3.962230001000000e-01 -1.315083000000000e-04 1.094459984700000e+00
3.060000000000000e-01 3.962216696000000e-01 -1.263226000000000e-04 1.094456029200000e+00
3.080000000000000e-01 3.962204406000000e-01 -1.216848000000000e-04 1.094452501800000e+00
3.100000000000000e-01 3.962192880000000e-01 -1.174719000000000e-04 1.094449306500000e+00
3.120000000000000e-01 3.962181931000000e-01 -1.135937000000000e-04 1.094446373000000e+00
3.140000000000000e-01 3.962171431000000e-01 -1.099884000000000e-04 1.094443653400000e+00
3.160000000000000e-01 3.962161130000000e-01 -1.065338000000000e-04 1.094441052300000e+00
3.180000000000000e-01 3.962150599000000e-01 -1.030199000000000e-04 1.094438406300000e+00
3.200000000000000e-01 3.962139511000000e-01 -9.928700000000000e-05 1.094435590900000e+00
3.220000000000000e-01 3.962128055000000e-01 -9.543040000000000e-05 1.094432680400000e+00
3.240000000000000e-01 3.962116989000000e-01 -9.182970000000000e-05 1.094429970500000e+00
3.260000000000000e-01 3.962107081000000e-01 -8.886970000000000e-05 1.094427761400000e+00
3.280000000000000e-01 3.962098357000000e-01 -8.656450000000000e-05 1.094426063700000e+00
3.300000000000000e-01 3.962089955000000e-01 -8.449020000000000e-05 1.094424547400000e+00
3.320000000000000e-01 3.962080727000000e-01 -8.208100000000000e-05 1.094422771800000e+00
3.340000000000000e-01 3.962070229000000e-01 -7.911940000000000e-05 1.094420567300000e+00
3.360000000000000e-01 3.962059144000000e-01 -7.594770000000000e-05 1.094418200600000e+00
3.380000000000000e-01 3.962048735000000e-01 -7.319820000000000e-05 1.094416164700000e+00
3.400000000000000e-01 3.962039713000000e-01 -7.122800000000000e-05 1.094414737700000e+00
3.420000000000000e-01 3.962031577000000e-01 -6.979100000000000e-05 1.094413727800000e+00
3.440000000000000e-01 3.962023055000000e-01 -6.826220000000001e-05 1.094412648200000e+00
3.460000000000000e-01 3.962013183000000e-01 -6.616870000000000e-05 1.094411130500000e+00
3.480000000000000e-01 3.962002164000000e-01 -6.361460000000001e-05 1.094409255900000e+00
3.500000000000000e-01 3.961991118000000e-01 -6.116260000000000e-05 1.094407462700000e+00
3.520000000000000e-01 3.961981088000000e-01 -5.933860000000000e-05 1.094406160900000e+00
3.540000000000000e-01 3.961972060000000e-01 -5.813910000000000e-05 1.094405347500000e+00
3.560000000000000e-01 3.961963005000000e-01 -5.706230000000000e-05 1.094404631700000e+00
3.580000000000000e-01 3.961952805000000e-01 -5.556200000000000e-05 1.094403588000000e+00
3.600000000000000e-01 3.961941289000000e-01 -5.355960000000000e-05 1.094402155200000e+00
3.620000000000000e-01 3.961929307000000e-01 -5.148500000000000e-05 1.094400668100000e+00
3.640000000000000e-01 3.961917903000000e-01 -4.986790000000000e-05 1.094399539600000e+00
3.660000000000000e-01 3.961907293000000e-01 -4.882490000000000e-05 1.094398860200000e+00
3.680000000000000e-01 3.961896662000000e-01 -4.796200000000000e-05 1.094398323400000e+00
