run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time
run_0122,visc_on_sensor_u_beta_1_cfl_0p2_nx_201_mode_1,5,on,u,1.0,0.2,201,1,0.2,completed,completed,0.2
run_0123,visc_on_sensor_u_beta_1_cfl_0p2_nx_501_mode_1,5,on,u,1.0,0.2,501,1,0.2,completed,completed,0.2
run_0124,visc_on_sensor_u_beta_1_cfl_0p2_nx_1001_mode_1,5,on,u,1.0,0.2,1001,1,0.2,completed,completed,0.2
run_0125,visc_on_sensor_u_beta_1_cfl_0p5_nx_101_mode_1,5,on,u,1.0,0.5,101,1,0.2,completed,completed,0.2
run_0126,visc_on_sensor_u_beta_1_cfl_0p5_nx_201_mode_1,5,on,u,1.0,0.5,201,1,0.2,completed,completed,0.2
run_0127,visc_on_sensor_u_beta_1_cfl_0p5_nx_501_mode_1,5,on,u,1.0,0.5,501,1,0.2,completed,completed,0.2
run_0128,visc_on_sensor_u_beta_1_cfl_0p5_nx_1001_mode_1,5,on,u,1.0,0.5,1001,1,0.2,completed,completed,0.2
run_0129,visc_on_sensor_u_beta_1_cfl_0p8_nx_101_mode_1,5,on,u,1.0,0.8,101,1,0.2,completed,completed,0.2
run_0130,visc_on_sensor_u_beta_1_cfl_0p8_nx_201_mode_1,5,on,u,1.0,0.8,201,1,0.2,completed,completed,0.2
run_0131,visc_on_sensor_u_beta_1_cfl_0p8_nx_501_mode_1,5,on,u,1.0,0.8,501,1,0.2,completed,completed,0.2
run_0132,visc_on_sensor_u_beta_1_cfl_0p8_nx_1001_mode_1,5,on,u,1.0,0.8,1001,1,0.2,completed,completed,0.2
run_0133,visc_on_sensor_p_beta_1_cfl_0p2_nx_101_mode_1,5,on,p,1.0,0.2,101,1,0.2,completed,completed,0.2
run_0134,visc_on_sensor_p_beta_1_cfl_0p2_nx_201_mode_1,5,on,p,1.0,0.2,201,1,0.2,completed,completed,0.2
run_0135,visc_on_sensor_p_beta_1_cfl_0p2_nx_501_mode_1,5,on,p,1.0,0.2,501,1,0.2,completed,completed,0.2
