TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
2.560000000000000e-01 3.442159371000000e-01 1.531959811200000e+00 2.462569586500000e+00
2.580000000000000e-01 3.442118595000000e-01 1.531997276300000e+00 2.462528772800000e+00
2.600000000000000e-01 3.442242934000000e-01 1.531882929800000e+00 2.462653337600000e+00
2.620000000000000e-01 3.442559543000000e-01 1.531591815700000e+00 2.462970490900000e+00
2.640000000000000e-01 3.443123281000000e-01 1.531073543300000e+00 2.463535207800000e+00
2.660000000000000e-01 3.443956776000000e-01 1.530307405600000e+00 2.464370205700000e+00
2.680000000000000e-01 3.445041290000000e-01 1.529310770300000e+00 2.465456783300000e+00
2.700000000000000e-01 3.446308509000000e-01 1.528146571800000e+00 2.466726569900000e+00
2.720000000000000e-01 3.447638696000000e-01 1.526924918000000e+00 2.468059632100000e+00
2.740000000000000e-01 3.448872283000000e-01 1.525792333400000e+00 2.469296058500000e+00
2.760000000000000e-01 3.449871664000000e-01 1.524875016200000e+00 2.470297870900000e+00
2.780000000000000e-01 3.450591458000000e-01 1.524214451100000e+00 2.471019496400000e+00
2.800000000000000e-01 3.451076763000000e-01 1.523769130100000e+00 2.471506082400000e+00
2.820000000000000e-01 3.451413323000000e-01 1.523460316100000e+00 2.471843559600000e+00
2.840000000000000e-01 3.451686175000000e-01 1.523209969700000e+00 2.472117170900000e+00
2.860000000000000e-01 3.451968615000000e-01 1.522950840100000e+00 2.472400408400000e+00
2.880000000000000e-01 3.452312193000000e-01 1.522635646500000e+00 2.472744963200000e+00
2.900000000000000e-01 3.452727272000000e-01 1.522254899200000e+00 2.473161233300000e+00
2.920000000000000e-01 3.453189022000000e-01 1.521831389400000e+00 2.473624326900000e+00
2.940000000000000e-01 3.453648554000000e-01 1.521409960300000e+00 2.474085219700000e+00
2.960000000000000e-01 3.454051330000000e-01 1.521040615600000e+00 2.474489211600000e+00
2.980000000000000e-01 3.454368103000000e-01 1.520750152200000e+00 2.474806962200000e+00
3.000000000000000e-01 3.454604878000000e-01 1.520533048300000e+00 2.475044484100000e+00
3.020000000000000e-01 3.454788102000000e-01 1.520365045300000e+00 2.475228300500000e+00
3.040000000000000e-01 3.454947491000000e-01 1.520218899200000e+00 2.475388211900000e+00
3.060000000000000e-01 3.455106926000000e-01 1.520072714500000e+00 2.475548174500000e+00
3.080000000000000e-01 3.455278056000000e-01 1.519915815000000e+00 2.475719871500000e+00
3.100000000000000e-01 3.455455636000000e-01 1.519753010000000e+00 2.475898042000000e+00
3.120000000000000e-01 3.455621927000000e-01 1.519600558700000e+00 2.476064891500000e+00
3.140000000000000e-01 3.455759383000000e-01 1.519474539700000e+00 2.476202819500000e+00
3.160000000000000e-01 3.455862889000000e-01 1.519379640100000e+00 2.476306691500000e+00
3.180000000000000e-01 3.455939347000000e-01 1.519309530100000e+00 2.476383432200000e+00
3.200000000000000e-01 3.455999928000000e-01 1.519253971600000e+00 2.476444246500000e+00
3.220000000000000e-01 3.456054023000000e-01 1.519204358300000e+00 2.476498554100000e+00
3.240000000000000e-01 3.456106347000000e-01 1.519156367300000e+00 2.476551086900000e+00
3.260000000000000e-01 3.456155864000000e-01 1.519110949400000e+00 2.476600804000000e+00
3.280000000000000e-01 3.456197808000000e-01 1.519072471300000e+00 2.476642924800000e+00
3.300000000000000e-01 3.456228602000000e-01 1.519044210600000e+00 2.476673861200000e+00
3.320000000000000e-01 3.456248759000000e-01 1.519025697900000e+00 2.476694126500000e+00
3.340000000000000e-01 3.456261489000000e-01 1.519013991000000e+00 2.476706941500000e+00
3.360000000000000e-01 3.456270122000000e-01 1.519006038000000e+00 2.476715647000000e+00
3.380000000000000e-01 3.456276770000000e-01 1.518999903700000e+00 2.476722361600000e+00
3.400000000000000e-01 3.456282043000000e-01 1.518995028200000e+00 2.476727698100000e+00
3.420000000000000e-01 3.456285460000000e-01 1.518991853500000e+00 2.476731172700000e+00
3.440000000000000e-01 3.456286483000000e-01 1.518990871800000e+00 2.476732246600000e+00
3.460000000000000e-01 3.456285224000000e-01 1.518991980600000e+00 2.476731031900000e+00
3.480000000000000e-01 3.456282144000000e-01 1.518994757600000e+00 2.476727990900000e+00
3.500000000000000e-01 3.456277737000000e-01 1.518998751000000e+00 2.476723618400000e+00
3.520000000000000e-01 3.456272370000000e-01 1.519003622000000e+00 2.476718285000000e+00
3.540000000000000e-01 3.456266140000000e-01 1.519009284000000e+00 2.476712085800000e+00
3.560000000000000e-01 3.456258905000000e-01 1.519015866600000e+00 2.476704878800000e+00
3.580000000000000e-01 3.456250507000000e-01 1.519023513700000e+00 2.476696506500000e+00
